"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","O78H9_China","O78H9_HPVN24_VN","O78H9_IMT2125_UK","O78_US"
"group_3776","","hypothetical protein","4","4","1","1","2667","","","","872","872","872","O78H9China_02225","O78H9HPVN24_02722","O78H9IMT2125UK_02695","O78US_03453"
"group_3777","","hypothetical protein","4","4","1","1","3456","","","","329","329","329","O78H9China_00226","O78H9HPVN24_02109","O78H9IMT2125UK_02119","O78US_02883"
"menD","","2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase","4","4","1","1","479","","","","1670","1670","1670","O78H9China_01891","O78H9HPVN24_02410","O78H9IMT2125UK_02418","O78US_03180"
"yheT","","putative hydrolase","4","4","1","1","1836","","","","1022","1022","1022","O78H9China_02393","O78H9HPVN24_03584","O78H9IMT2125UK_03657","O78US_04320"
"ugpB","","glycerol-3-phosphate / glycerol-2-phosphate ABC transporter - putative periplasmic binding protein","4","4","1","1","1739","","","","1004","1316","1238","O78H9China_02490","O78H9HPVN24_03681","O78H9IMT2125UK_03756","O78US_04417"
"yecS","","putative transporter subunit: membrane component of ABC superfamily protein","4","4","1","1","3093","","","","668","668","668","O78H9China_00095","O78H9HPVN24_01992","O78H9IMT2125UK_02030","O78US_02797"
"yeeO","","YeeO MATE transporter","4","4","1","1","3401","","","","1454","1454","1454","O78H9China_00172","O78H9HPVN24_04746","O78H9IMT2125UK_02110","O78US_02874"
"pspA","","regulatory protein for the phage shock protein operon","4","4","1","1","3199","","","","668","668","668","O78H9China_02096","O78H9HPVN24_01401","O78H9IMT2125UK_01421","O78US_02180"
"alkB","","AlkB repair system for alkylated DNA and RNA","4","4","1","1","2847","","","","650","650","650","O78H9China_01945","O78H9HPVN24_02356","O78H9IMT2125UK_02362","O78US_03126"
"hofQ","","protein involved in utilization of DNA as a carbon source","4","4","1","1","1799","","","","1208","1208","1208","O78H9China_02430","O78H9HPVN24_03621","O78H9IMT2125UK_03695","O78US_04357"
"group_3785","","hypothetical protein","4","4","1","1","4903","","","","347","347","347","O78H9China_02773","O78H9HPVN24_00456","O78H9IMT2125UK_00427","O78US_01166"
"livJ","","branched chain amino acid ABC transporter - periplasmic binding protein","4","4","1","1","1730","","","","1097","1097","1097","O78H9China_02499","O78H9HPVN24_03690","O78H9IMT2125UK_03765","O78US_04426"
"group_3787","","hypothetical protein","4","4","1","1","3673","","","","353","353","353","O78H9China_02908","O78H9HPVN24_04799","O78H9IMT2125UK_01706","O78US_01300"
"scpC","","propionyl-CoA:succinate CoA transferase","4","4","1","1","2296","","","","1478","1478","1478","O78H9China_03354","O78H9HPVN24_03098","O78H9IMT2125UK_03190","O78US_03851"
"yifB","","putative ATP-dependent protease","4","4","1","1","5190","","","","1520","1520","1520","O78H9China_04074","O78H9HPVN24_04018","O78H9IMT2125UK_04095","O78US_04764"
"rsmD","","16S rRNA m2G966 methyltransferase","4","4","1","1","1725","","","","266","596","513","O78H9China_02504","O78H9HPVN24_03695","O78H9IMT2125UK_03770","O78US_04431"
"ppsR","","PEP synthetase regulatory protein","4","4","1","1","2888","","","","833","833","833","O78H9China_01600","O78H9HPVN24_01779","O78H9IMT2125UK_01812","O78US_02585"
"ampE","","putative inner membrane protein","4","4","1","1","3971","","","","854","854","854","O78H9China_01293","O78H9HPVN24_00155","O78H9IMT2125UK_00122","O78US_00845"
"artP","","arginine ABC transporter - ATP binding subunit","4","4","1","1","1115","","","","728","728","728","O78H9China_00530","O78H9HPVN24_00962","O78H9IMT2125UK_00934","O78US_01700"
"iap","","alkaline phosphatase isozyme conversion protein","4","4","1","1","2488","","","","1037","1037","1037","O78H9China_03891","O78H9HPVN24_02904","O78H9IMT2125UK_02988","O78US_03650"
"yidG","","putative inner membrane protein","4","4","1","1","5292","","","","362","362","362","O78H9China_02644","O78H9HPVN24_03925","O78H9IMT2125UK_04002","O78US_04668"
"yigB","","FMN phosphatase","4","4","1","1","5147","","","","716","716","716","O78H9China_04026","O78H9HPVN24_04066","O78H9IMT2125UK_04142","O78US_04812"
"rlmN","","23S rRNA methyltransferase and tRNA m2A37 methyltransferase","4","4","1","1","2640","","","","1154","1154","1154","O78H9China_02254","O78H9HPVN24_02693","O78H9IMT2125UK_02666","O78US_03424"
"dppC","","dipeptide ABC transporter - putative membrane subunit","4","4","1","1","1644","","","","902","902","902","O78H9China_03933","O78H9HPVN24_03777","O78H9IMT2125UK_03852","O78US_04520"
"mdtM","","multidrug efflux transporter MdtM","4","4","1","1","4465","","","","1232","1232","1232","O78H9China_04323","O78H9HPVN24_04705","O78H9IMT2125UK_04769","O78US_00594"
"rhaS","","RhaS-L-rhamnose DNA-binding transcriptional activator","4","4","1","1","71","","","","836","836","836","O78H9China_04112","O78H9HPVN24_04166","O78H9IMT2125UK_04247","O78US_00060"
"group_380","","hypothetical protein","4","4","1","1","1718","","","","344","557","503","O78H9China_02511","O78H9HPVN24_03702","O78H9IMT2125UK_03777","O78US_04438"
"ybcM","","DLP12 prophage; predicted DNA-binding transcriptional regulator","4","4","1","1","3109","","","","797","797","797","O78H9China_00111","O78H9HPVN24_02007","O78H9IMT2125UK_02046","O78US_02813"
"group_3801","","hypothetical protein","4","4","1","1","2353","","","","131","131","131","O78H9China_03293","O78H9HPVN24_03037","O78H9IMT2125UK_03128","O78US_03790"
"group_3802","","hypothetical protein","4","4","1","1","4776","","","","257","257","257","O78H9China_03600","O78H9HPVN24_00283","O78H9IMT2125UK_00253","O78US_00980"
"asnS","","asparaginyl-tRNA synthetase","4","4","1","1","1049","","","","1400","1400","1400","O78H9China_00599","O78H9HPVN24_01033","O78H9IMT2125UK_01042","O78US_01810"
"group_3804","","hypothetical protein","4","4","1","1","1906","","","","1124","1124","1124","O78H9China_04752","O78H9HPVN24_03514","O78H9IMT2125UK_03587","O78US_04250"
"rsmJ","","16S rRNA methyltransferase","4","4","1","1","1696","","","","752","752","752","O78H9China_02533","O78H9HPVN24_03724","O78H9IMT2125UK_03799","O78US_04460"
"group_3806","","hypothetical protein","4","4","1","1","2171","","","","2219","2219","2219","O78H9China_03175","O78H9HPVN24_03238","O78H9IMT2125UK_03303","O78US_03965"
"alsB","","D-allose ABC transporter - periplasmic binding protein","4","4","1","1","1476","","","","935","935","935","O78H9China_01037","O78H9HPVN24_04418","O78H9IMT2125UK_04473","O78US_00302"
"mntP","","manganese export protein","4","4","1","1","2999","","","","566","566","566","O78H9China_01488","O78H9HPVN24_01892","O78H9IMT2125UK_01926","O78US_02697"
"rsxA","","integral membrane protein of SoxR-reducing complex","4","4","1","1","4666","","","","581","581","581","O78H9China_01683","O78H9HPVN24_01694","O78H9IMT2125UK_01728","O78US_02502"
"yhhS","","putative transport protein YhhS","4","4","1","1","1717","","","","1259","1259","1259","O78H9China_02512","O78H9HPVN24_03703","O78H9IMT2125UK_03778","O78US_04439"
"pflD","","formate acetyltransferase 2","4","4","1","1","11","","","","2297","2297","2297","O78H9China_04679","O78H9HPVN24_04217","O78H9IMT2125UK_04309","O78US_00113"
"gspE_2","","putative protein secretion protein for export","4","4","1","1","1865","","","","1481","1481","1481","O78H9China_04710","O78H9HPVN24_03556","O78H9IMT2125UK_03629","O78US_04292"
"mngR_1","","MngR DNA-binding transcriptional repressor","4","4","1","1","379","","","","722","722","722","O78H9China_04378","O78H9HPVN24_00764","O78H9IMT2125UK_00739","O78US_01501"
"hisI","","phosphoribosyl-AMP cyclohydrolase / phosphoribosyl-ATP pyrophosphatase","4","4","1","1","3475","","","","611","611","611","O78H9China_00247","O78H9HPVN24_02130","O78H9IMT2125UK_02140","O78US_02904"
"flgG","","flagellar basal-body rod protein FlgG","4","4","1","1","904","","","","782","782","782","O78H9China_00751","O78H9HPVN24_01183","O78H9IMT2125UK_01198","O78US_01962"
"hsdM","","host modification; DNA methylase M","4","4","1","1","2591","","","","1547","1547","1547","O78H9China_04798","O78H9HPVN24_02802","O78H9IMT2125UK_02879","O78US_03541"
"group_3816","","hypothetical protein","4","4","1","1","992","","","","746","746","746","O78H9China_00657","O78H9HPVN24_01091","O78H9IMT2125UK_01102","O78US_01868"
"yeaX","","putative oxidoreductase","4","4","1","1","2980","","","","965","965","965","O78H9China_01508","O78H9HPVN24_01872","O78H9IMT2125UK_01906","O78US_02677"
"tomB","","protein that modulates Hha toxicity","4","4","1","1","4954","","","","374","374","374","O78H9China_02825","O78H9HPVN24_00509","O78H9IMT2125UK_00479","O78US_01218"
"agaB","","galactosamine PTS permease - cryptic","4","4","1","1","2039","","","","476","476","476","O78H9China_03058","O78H9HPVN24_03373","O78H9IMT2125UK_03444","O78US_04102"
"group_382","","hypothetical protein","4","4","1","1","1703","","","","1358","1589","1531","O78H9China_02526","O78H9HPVN24_03717","O78H9IMT2125UK_03792","O78US_04453"
"group_3820","","hypothetical protein","4","4","1","1","3607","","","","1049","1049","1049","O78H9China_00390","O78H9HPVN24_02276","O78H9IMT2125UK_02283","O78US_03047"
"rlmI","","23S rRNA methyltransferase monomer","4","4","1","1","1011","","","","1175","1175","1175","O78H9China_00638","O78H9HPVN24_01072","O78H9IMT2125UK_01082","O78US_01849"
"rnr","","RNase R","4","4","1","1","1395","","","","2441","2441","2441","O78H9China_00942","O78H9HPVN24_04510","O78H9IMT2125UK_04572","O78US_00398"
"cybC","","Soluble cytochrome b562","4","4","1","1","1331","","","","386","386","386","O78H9China_00874","O78H9HPVN24_04578","O78H9IMT2125UK_04641","O78US_00466"
"yhbU","","putative peptidase (collagenase-like)","4","4","1","1","2018","","","","995","995","995","O78H9China_03037","O78H9HPVN24_03394","O78H9IMT2125UK_03466","O78US_04123"
"yhgF","","putative transcriptional accessory protein","4","4","1","1","1783","","","","2321","2321","2321","O78H9China_02446","O78H9HPVN24_03637","O78H9IMT2125UK_03711","O78US_04373"
"ybhQ","","putative inner membrane protein","4","4","1","1","1211","","","","410","410","410","O78H9China_00433","O78H9HPVN24_00865","O78H9IMT2125UK_00835","O78US_01603"
"pabC","","para-aminobenzoate synthase multi-enzyme complex","4","4","1","1","887","","","","809","809","809","O78H9China_00770","O78H9HPVN24_01201","O78H9IMT2125UK_01217","O78US_01981"
"ybiJ","","putative protein","4","4","1","1","1199","","","","260","260","260","O78H9China_00445","O78H9HPVN24_00877","O78H9IMT2125UK_00848","O78US_01615"
"tauA","","taurine ABC transporter - periplasmic binding protein","4","4","1","1","4859","","","","962","962","962","O78H9China_03683","O78H9HPVN24_00414","O78H9IMT2125UK_00383","O78US_01122"
"gadE","","GadE DNA-binding transcriptional activator","4","4","1","1","1681","","","","398","527","494","O78H9China_02550","O78H9HPVN24_03741","O78H9IMT2125UK_03816","O78US_04477"
"mtlD","","mannitol-1-phosphate 5-dehydrogenase","4","4","1","1","1584","","","","1148","1148","1148","O78H9China_02728","O78H9HPVN24_03841","O78H9IMT2125UK_03919","O78US_04585"
"ydbK","","putative pyruvate:flavodoxin oxidoreductase","4","4","1","1","3245","","","","3524","3524","3524","O78H9China_02049","O78H9HPVN24_01448","O78H9IMT2125UK_01472","O78US_02227"
"gatD","","galactitol-1-phosphate dehydrogenase","4","4","1","1","3536","","","","1040","1040","1040","O78H9China_00318","O78H9HPVN24_02203","O78H9IMT2125UK_02209","O78US_02975"
"citX","","apo-citrate lyase phosphoribosyl-dephospho-CoA transferase","4","4","1","1","3817","","","","551","551","551","O78H9China_03508","O78H9HPVN24_00655","O78H9IMT2125UK_00628","O78US_01389"
"nrfA","","formate dependent nitrite reductase - NrfA subunit","4","4","1","1","1454","","","","1436","1436","1436","O78H9China_01058","O78H9HPVN24_04396","O78H9IMT2125UK_04451","O78US_00281"
"katG","","hydroperoxidase I","4","4","1","1","19","","","","2180","2180","2180","O78H9China_04687","O78H9HPVN24_04209","O78H9IMT2125UK_04301","O78US_00105"
"group_3836","","hypothetical protein","4","4","1","1","2966","","","","446","446","446","O78H9China_01522","O78H9HPVN24_01858","O78H9IMT2125UK_01892","O78US_02663"
"rmf","","ribosome modulation factor","4","4","1","1","1025","","","","167","167","167","O78H9China_00624","O78H9HPVN24_01058","O78H9IMT2125UK_01068","O78US_01835"
"rffM","","UDP-N-acetyl-D-mannosaminuronic acid transferase","4","4","1","1","5161","","","","740","740","740","O78H9China_04045","O78H9HPVN24_04047","O78H9IMT2125UK_04124","O78US_04793"
"fimZ_1","","FimZ transcriptional regulator","4","4","1","1","5025","","","","632","632","632","O78H9China_02899","O78H9HPVN24_00583","O78H9IMT2125UK_00554","O78US_01291"
"mdtF","","MdtEF-TolC multidrug efflux transport system - permease subunit","4","4","1","1","1678","","","","2051","3113","2847","O78H9China_02554","O78H9HPVN24_03745","O78H9IMT2125UK_03819","O78US_04481"
"hemC","","hydroxymethylbilane synthase","4","4","1","1","5154","","","","962","962","962","O78H9China_04033","O78H9HPVN24_04059","O78H9IMT2125UK_04135","O78US_04805"
"safA","","two-component system connector protein","4","4","1","1","3326","","","","197","197","197","O78H9China_04616","O78H9HPVN24_01567","O78H9IMT2125UK_01602","O78US_02353"
"ybaM","","small protein involved in the cell envelope stress response","4","4","1","1","4959","","","","161","161","161","O78H9China_02830","O78H9HPVN24_00514","O78H9IMT2125UK_00484","O78US_01223"
"trxC","","Thioredoxin 2","4","4","1","1","2705","","","","419","419","419","O78H9China_02183","O78H9HPVN24_02762","O78H9IMT2125UK_02737","O78US_03495"
"manY_2","","mannose PTS permease - ManY subunit","4","4","1","1","2996","","","","800","800","800","O78H9China_01491","O78H9HPVN24_01889","O78H9IMT2125UK_01923","O78US_02694"
"dedD","","cell division protein DedD","4","4","1","1","529","","","","662","662","662","O78H9China_01842","O78H9HPVN24_02460","O78H9IMT2125UK_02468","O78US_03229"
"torD","","chaperone protein for trimethylamine-N-oxide oxidoreductase I","4","4","1","1","981","","","","599","599","599","O78H9China_00669","O78H9HPVN24_01104","O78H9IMT2125UK_01114","O78US_01880"
"group_3847","","hypothetical protein","4","4","1","1","875","","","","542","542","542","O78H9China_00782","O78H9HPVN24_01213","O78H9IMT2125UK_01229","O78US_01993"
"rluD","","23S rRNA pseudouridine synthase","4","4","1","1","2713","","","","980","980","980","O78H9China_04829","O78H9HPVN24_02771","O78H9IMT2125UK_02747","O78US_03510"
"yfaT","","putative protein","4","4","1","1","445","","","","623","623","623","O78H9China_01926","O78H9HPVN24_02375","O78H9IMT2125UK_02382","O78US_03145"
"rbsD","","ribose pyranase","4","4","1","1","5200","","","","419","455","428","O78H9China_02566","O78H9HPVN24_04006","O78H9IMT2125UK_04082","O78US_04746"
"group_3850","","hypothetical protein","4","4","1","1","3829","","","","1220","1220","1220","O78H9China_03522","O78H9HPVN24_00641","O78H9IMT2125UK_00614","O78US_01375"
"fliT","","flagellar biosynthesis protein FliT","4","4","1","1","3101","","","","365","365","365","O78H9China_00103","O78H9HPVN24_02000","O78H9IMT2125UK_02038","O78US_02805"
"rpoZ","","RNA polymerase, o subunit","4","4","1","1","1533","","","","275","275","275","O78H9China_02675","O78H9HPVN24_03894","O78H9IMT2125UK_03972","O78US_04638"
"group_3853","","hypothetical protein","4","4","1","1","974","","","","173","173","173","O78H9China_00676","O78H9HPVN24_01111","O78H9IMT2125UK_01121","O78US_01887"
"gutQ","","D-arabinose 5-phosphate isomerase","4","4","1","1","2537","","","","965","965","965","O78H9China_03842","O78H9HPVN24_02855","O78H9IMT2125UK_02939","O78US_03601"
"group_3855","","hypothetical protein","4","4","1","1","3801","","","","263","263","263","O78H9China_03491","O78H9HPVN24_00672","O78H9IMT2125UK_00645","O78US_01406"
"pliG","","inhibitor of g-type lysozyme","4","4","1","1","824","","","","401","401","401","O78H9China_04549","O78H9HPVN24_01261","O78H9IMT2125UK_01280","O78US_02042"
"yiaM","","2,3-diketo-L-gulonate:Na+ symporter - membrane subunit","4","4","1","1","1609","","","","473","473","473","O78H9China_03974","O78H9HPVN24_03818","O78H9IMT2125UK_03894","O78US_04561"
"group_3858","","hypothetical protein","4","4","1","1","652","","","","164","164","164","O78H9China_05022","O78H9HPVN24_00832","O78H9IMT2125UK_00801","O78US_01564"
"moaD","","Molybdopterin synthase sulfur carrier subunit","4","4","1","1","1218","","","","245","245","245","O78H9China_00426","O78H9HPVN24_00858","O78H9IMT2125UK_00828","O78US_01596"
"atpG","","ATP synthase F1 complex - gamma subunit","4","4","1","1","5215","","","","863","878","866","O78H9China_02581","O78H9HPVN24_03991","O78H9IMT2125UK_04067","O78US_04731"
"fldB","","Flavodoxin 2","4","4","1","1","2320","","","","521","521","521","O78H9China_03327","O78H9HPVN24_03071","O78H9IMT2125UK_03163","O78US_03824"
"tam","","trans-aconitate methyltransferase","4","4","1","1","3760","","","","758","758","758","O78H9China_04596","O78H9HPVN24_01587","O78H9IMT2125UK_01622","O78US_02374"
"ydgI","","ArcD APC transporter","4","4","1","1","4695","","","","1382","1382","1382","O78H9China_01706","O78H9HPVN24_01670","O78H9IMT2125UK_01682","O78US_02479"
"rpe","","ribulose-5-phosphate 3-epimerase","4","4","1","1","1804","","","","677","677","677","O78H9China_02425","O78H9HPVN24_03616","O78H9IMT2125UK_03690","O78US_04352"
"tap","","methyl accepting chemotaxis protein - dipeptide sensing","4","4","1","1","3066","","","","1601","1601","1601","O78H9China_00064","O78H9HPVN24_01961","O78H9IMT2125UK_01999","O78US_02766"
